"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Kluyveromyces marxianus</i> DMKU3-1042 Genome Sequence and Annotation","2017-10-23","Apollo","Mamoru Yamada","Applied Molecular Bioscience, Graduate School of Medicine, Yamaguchi University, Ube, Japan","FungiDB rel. 63, 2023-MAY-03","63","Genomes","kmarDMKU31042_primary_genome_RSRC","DS_46ca6d7869","<i>Kluyveromyces marxianus</i> DMKU3-1042<br>","25834639","N/A","Mamoru Yamada","Genome Sequence and Annotation of <i>Kluyveromyces marxianus</i> DMKU3-1042","genome","5151"
"Transcriptomics of Mucor circinelloides NCRIP deficient spores phagocytosed by mouse macrophages","2020-07-13","Apollo","Victoriano Garre","Department of Genetics and Microbiology, Faculty of Biology, University of Murcia, Spain","FungiDB rel. 68, 2024-MAY-07","68","RNASeq","mcirCBS277-49_Arques_NCRIP_Deficient_ebi_rnaSeq_RSRC","DS_4703a409e8","<i>Mucor lusitanicus</i> CBS 277.49<br>","32658892","N/A","Pérez-Arques et al. 2020","Transcriptomics of R3B2 and RDRP1 fungal spores and fungal spore-macrophage coculture.","transcript_expression","N/A"
"<i>Coccidioides posadasii</i> RMSCC 2133 Genome Sequence","2015-07-13","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cposRMSCC2133_primary_genome_RSRC","DS_4721c44929","<i>Coccidioides posadasii</i> RMSCC 2133<br>","20516208","N/A","Daniel E. Neafsey","Genome sequence for <i>Coccidioides posadasii</i> RMSCC 2133","genome","N/A"
"Transcriptomics of Aspergillus fumigatus upon exposure to human airway epithelial cells","2018-01-18","Apollo","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","FungiDB rel. 66, 2023-NOV-28","66","RNASeq","afumAf293_Watkins_AfumA549_2018_ebi_rnaSeq_RSRC","DS_47a1a2ad67","<i>Aspergillus fumigatus</i> Af293<br>","29345613","N/A","Watkins et al. 2018","Aspergillus fumigatus (strains Af293 or CEA10) for 6 or 16 hours and then subject to RNA-seq analysis of both the host and fungal transriptomes.","transcript_expression","N/A"
"SNP calls on WGS of Zymoseptoria tritici from infected wheat fields","2020-07-08","Apollo","Daniel Croll","Laboratory of Evolutionary Genetics, Institute of Biology, University of Neuchatel,
13 Neuchatel, Switzerland","FungiDB rel. 59, 2022-AUG-30","59","Genetic variation","ztriIPO323_HTS_SNP_Singh_Zymo_PRJNA596434_RSRC","DS_486c6c20b9","<i>Zymoseptoria tritici</i> IPO323<br>","N/A","N/A","Singh et al. 2021","Z. tritici field sampling in Switzerland and Oregon, USA.","isolates","N/A"
"CalCENv1 co-expression network UMAP clusters","2020-12-06","Apollo","Teresa O'Meara","Department of Microbiology and Immunology, University of Michigan Medical School, Ann Arbor, USA","FungiDB rel. 56, 2022-FEB-15","56","Function prediction","calbSC5314_functional_data_Omeara_2020_CalCEN_UMAP_RSRC","DS_4a1633821f","<i>Candida albicans</i> SC5314<br>","33472984","N/A","O’Meara and O’Meara, 2020","CalCENv1 co-expression network was projected to two dimensions using UMAP and 18 clusters were identified and annotated through gene set enrichment analysis.","generic_profiles","N/A"
"Transcriptome of Fusarium graminearum during the infection of wheat","2010-03-01","Apollo","Erik Lysoe","Bioforsk Cereal Disease Laboratory","FungiDB rel. 35, 2017-DEC-01","35","DNA Microarray Assay","fgraPH-1_microarrayExpression_transcriptome_during_the_infection_of_wheat_RSRC","DS_4a1d8e1905","<i>Fusarium graminearum</i> PH-1<br>","21585270","N/A","Lysøe et al.","Transcriptome of Fusarium graminearum during the infection of wheat","transcript_expression","N/A"
"Transcriptomics of banana pathogen Fusarium oxysporum f.sp. cubense race 1","2014-04-17","N/A","Lijia Guo","Key Laboratory of Monitoring and Control of Tropical Agricultural and Forest Invasive Alien Pests, Ministry of Agriculture, Environment and Plant Protection Institute, Chinese Academy of Tropical Agricultural Sciences","FungiDB rel. 41, 2018-DEC-13","41","RNASeq","foxyrace1_Guo_banana_pathogen_ebi_rnaSeq_RSRC","DS_4a76ff695c","<i>Fusarium oxysporum</i> f. sp. cubense race 1<br>","24743270","N/A","Guo et al. 2014","Strand specific RNA-Seq analysis of <i>Fusarium oxysporum</i> f. sp. <i>cubense</i> infecting <i>Musa acuminata</i> 0h and 48h.","transcript_expression","N/A"
"Transcriptomic response to the two industrial feedstocks, corn stover and soybean hulls","2019-04-09","Apollo","Ronald P. de Vries","Westerdijk Fungal Biodiversity Institute","FungiDB rel. 46, 2019-NOV-06","46","RNASeq","treeQM6a_Benocci_Plant_Biomass_ebi_rnaSeq_RSRC","DS_4a82ad5b6f","<i>Trichoderma reesei</i> QM6a<br>","31007715","N/A","Benocci et al. 2019","mRNA samples were collected from WT, delta xyr1, delta ara1, and delta xki1 strains at 4 , 24 and 48 hr.","transcript_expression","N/A"
"<i>Aspergillus nidulans</i> FGSC A4 Genome Sequence and Annotation","2015-10-04","Apollo","James E. Galagan","Broad Institute","FungiDB rel. 60, 2022-NOV-09","21","Genomes","anidFGSCA4_primary_genome_RSRC","DS_4b35c88aa1","<i>Aspergillus nidulans</i> FGSC A4<br>","16372000","N/A","James E. Galagan","Genome sequence and annotation for <i>Aspergillus nidulans</i> FGSC A4.","genome","10988"
"In planta expression profiles of Fusarium proliferatum ET1","2016-12-31","Apollo","Ulrich Güldener","Technische Universität München, Wissenschaftszentrum Weihenstephan, Department of Genome-oriented Bioinformatics","FungiDB rel. 57, 2022-APR-21","57","RNASeq","fproET1_inplantaFproliferatum_Niehaus_2016_ebi_rnaSeq_RSRC","DS_4c6607753d","<i>Fusarium proliferatum</i> ET1<br>","28040774","N/A","Niehaus et al. 2016","Transcriptional changes during maize root infection. Root samples were taken 4, 10 and 20 dpi for RNA isolation.","transcript_expression","N/A"
"<i>Coccidioides posadasii</i> RMSCC 3488 Genome Sequence and Annotation","2015-06-29","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cposRMSCC3488_primary_genome_RSRC","DS_4cc8563c84","<i>Coccidioides posadasii</i> RMSCC 3488<br>","N/A","N/A","Daniel E. Neafsey","Genome sequence and annotation for <i>Coccidioides posadasii</i> RMSCC 3488","genome","10016"
"Gene expression of F. graminearum during maize stalk infection","2016-02-11","Apollo","Wei-Hua Tang","National Key Laboratory of Plant Molecular Genetics, Center for Excellence in Molecular Plant Sciences, Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences","FungiDB rel. 57, 2022-APR-21","57","DNA Microarray Assay","fgraPH-1_microarrayExpression_maize_stalk_infection_GSE53854_RSRC","DS_4d16290906","<i>Fusarium graminearum</i> PH-1<br>","26974960","N/A","Zhang et al. 2016","Expression profiling by array of <i>F. graminearum</i> infecting Maize (<i>Zea mays</i> ssp. <i>mays</i> L.) cultivar B73 plants.","transcript_expression","N/A"
"<i>Cryptococcus neoformans</i> var. neoformans JEC21 Genome Sequence and Annotation","2016-06-16","Apollo","Richard Hyman","Stanford Genome Technology Center, Stanford University","FungiDB rel. 51, 2021-MAR-16","15","Genomes","cneoJEC21_primary_genome_RSRC","DS_4d171eb9ea","<i>Cryptococcus neoformans</i> var. neoformans JEC21<br>","15653466","N/A","Richard Hyman","Genome sequence and annotation for <i>Cryptococcus neoformans</i> var. <i>neoformans</i> JEC21.","genome","7004"
"Enzyme Nomenclature Database","2020-11-01","N/A","ENZYME","Swiss Institute of Bioinformatics","FungiDB rel. 1.0, 01-JAN-05","0","Function","enzymeDB_RSRC","DS_4d5814c3f2","<br>","10592255","N/A","ENZYME","EC Numbers from ENZYME","function","N/A"
"<i>Aspergillus carbonarius</i> ITEM 5010 Genome Sequence and Annotation","2017-02-15","Apollo","Ronald P. de Vries","Westerdijk Fungal Biodiversity Institute","FungiDB rel. 66, 2023-NOV-28","19","Genomes","acarITEM5010_primary_genome_RSRC","DS_4d6c295589","<i>Aspergillus carbonarius</i> ITEM 5010<br>","28196534","N/A","Ronald P. de Vries","Genome sequence and annotation for <i>Aspergillus carbonarius</i> ITEM 5010.","genome","11735"
"RNA-Seq data of Cordyceps militaris cultivated on the germinated soybeans","2022-02-24","Apollo","Jaehyuk Choi","Division of Life Sciences, College of Life Sciences and Bioengineering, Incheon National University","FungiDB rel. 62, 2023-MAR-09","62","RNASeq","cmilATCC34164_Yoo_Cmilitaris_2022_ebi_rnaSeq_RSRC","DS_4d7e37d0bf","<i>Cordyceps militaris</i> ATCC 34164<br>","35291592","N/A","Yoo et al. 2022","Transcriptomic analysis of <i>C. militaris</i> during cultivation on germinated soybeans.","transcript_expression","N/A"
"SNP calls on WGS of Candida albicans AmB-resistant and laboratory strains","2015-07-22","Apollo","Susan Lindquist","Whitehead Institute","FungiDB rel. 41, 2018-DEC-13","41","Genetic variation","calbSC5314_HTS_SNP_Lindquist_AmBResistant_RSRC","DS_4db802da0d","<i>Candida albicans</i> SC5314<br>","24204207","N/A","Vincent BM et al.","Whole genome sequencing of wild-type, clinical isolates, and laboratory-evolved strains of <i>Candida albicans</i>","isolates","N/A"
"SNP calls on WGS of C. gattii from North American Pacific Northwest","2014-07-20","Apollo","TGen North","Translational Genomics Research Institute","FungiDB rel. 62, 2023-MAR-09","62","Genetic variation","cdeuR265_HTS_SNP_Cg_TGen_2014_PRJNA244927_RSRC","DS_4eb29e611f","<i>Cryptococcus gattii</i> VGII R265<br>","N/A","N/A","TGen North, 2014","<i>Cryptococcus gattii</i> in North American Pacific Northwest: whole population genome analysis provides insights into species evolution and dispersal","isolates","N/A"
"Transcriptomic analysis of Blastomyces dermatitidis yeast and mould phases","2015-10-06","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 53, 2021-JUL-21","53","RNASeq","bderATCC26199_Munoz_Bdermatitidis_Yeast_Mould_ebi_rnaSeq_RSRC","DS_4f8e0b3e84","<i>Blastomyces dermatitidis</i> ATCC 26199<br>","26439490","N/A","Muñoz et al. 2015","<i>In vitro</i> transcriptomic analysis of <i>Blastomyces dermatitidis</i> growth.","transcript_expression","N/A"
"Fresh human whole blood infected with Candida albicans","2018-10-02","Apollo","Philipp Kämmer","Microbial Pathogenicity Mechanisms, Leibniz Institute for Natural Product Research and Infection Biology – Hans Knöll Institute, Jena, Germany","FungiDB rel. 51, 2021-MAR-16","51","RNASeq","calbSC5314_Kammer_blood_Calbicans_ebi_rnaSeq_RSRC","DS_4fb286d98f","<i>Candida albicans</i> SC5314<br>","30333805","N/A","Sieber et al. 2018","Fresh human whole blood infected with <i>Candida albicans</i>.","transcript_expression","N/A"
"Fresh human whole blood infected with Candida glabrata","2018-10-02","Apollo","Philipp Kämmer","Microbial Pathogenicity Mechanisms, Leibniz Institute for Natural Product Research and Infection Biology – Hans Knöll Institute, Jena, Germany","FungiDB rel. 51, 2021-MAR-16","51","RNASeq","cglaCBS138_Kammer_Blood_Cglabrata_ebi_rnaSeq_RSRC","DS_50d662f7cb","<i>Nakaseomyces glabratus</i> CBS 138<br>","30333805","N/A","Sieber et al. 2018","Fresh human whole blood infected with <i>Candida glabrata</i>.","transcript_expression","N/A"
"<i>[Candida] auris</i> B11243 Genome Sequence and Annotation","2018-03-23","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","51","Genomes","caurB11243_primary_genome_RSRC","DS_511cf229a7","<i>Candida auris</i> strain B11243<br>","27988485, 30559369","N/A","Christina Cuomo","Genome Sequence and Annotation for <i>Candida auris</i> strain B11243","genome","5595"
"<i>Talaromyces marneffei</i> ATCC 18224 Genome Sequence and Annotation","2015-03-11","Apollo","Barbara Robbertse","J. Craig Venter Institute","FungiDB rel. 51, 2021-MAR-16","21","Genomes","tmarATCC18224_primary_genome_RSRC","DS_513456ecd6","<i>Talaromyces marneffei</i> ATCC 18224<br>","N/A","N/A","Barbara Robbertse","Genome sequence and annotation for <i>Talaromyces marneffei</i> ATCC 18224.","genome","10194"
"<i>Trichoderma reesei</i> QM6a Genome Sequence and Annotation","2015-03-14","Apollo","Diego Martinez","DoE Joint Genome Institute","FungiDB rel. 56, 2022-FEB-15","19","Genomes","treeQM6a_primary_genome_RSRC","DS_5136d77df4","<i>Trichoderma reesei</i> QM6a<br>","18454138","N/A","Diego Martinez","Genome sequence and annotation for <i>Trichoderma reesei</i> QM6a.","genome","9138"
"<i>Penicillium digitatum</i> Pd1 Genome Sequence and Annotation","2015-11-18","Apollo","Toni Gabaldón","Centre for Genomic Regulation, The Barcelona Institute of Science and Technology","FungiDB rel. 67, 2024-FEB-21","67","Genomes","pdigPd1_primary_genome_RSRC","DS_522b4664a5","<i>Penicillium digitatum</i> Pd1<br>","23171342","N/A","Toni Gabaldón","Genome Sequence and Annotation of <i>Penicillium digitatum</i> Pd1","genome","8946"
"<i>Phialophora attinorum</i> CBS 131958 Genome Sequence and Annotation","2017-08-28","Apollo","G. S. (Sybren) de Hoog","Westerdijk Fungal Biodiversity Institute, Utrecht, The Netherlands","FungiDB rel. 67, 2024-FEB-21","67","Genomes","pattCBS131958_primary_genome_RSRC","DS_5234a8d178","<i>Phialophora attinorum</i> CBS 131958<br>","26586868","N/A","G. S. (Sybren) de Hoog","Genome Sequence and Annotation of <i>Phialophora attinorum</i> CBS 131958","genome","11848"
"<i>[Candida] haemuloni</i> B11899 Genome Sequence and Annotation","2018-05-01","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","46","Genomes","chaeB11899_primary_genome_RSRC","DS_53617fed03","<i>Candida haemulonis</i> B11899<br>","30559369","N/A","Christina Cuomo","Genome sequence and annotation for <i>Candida haemulonis</i> B11899.","genome","5409"
"SNP calls on WGS of Candida auris in the United States (CDC)","2023-03-03","Apollo","CDC","Centers for Disease Control and Prevention, USA","FungiDB rel. 65, 2023-SEP-14","65","Genetic variation","caurB8441_HTS_SNP_Cauris_CDC_NA_2023_RSRC","DS_5391d8d391","<i>Candida auris</i> strain B8441<br>","N/A","N/A","CDC","Sequencing was performed by CDC National Center for Emerging and Zoonotic Infectious Diseases- Mycotic Diseases Branch.","isolates","N/A"
"<i>Pleurotus ostreatus</i> PC9 Genome Sequence and Annotation","2020-10-28","N/A","Frederick Chi Ching Leung","School of Biological Sciences, University of Hong Kong, Pokfulam, Hong Kong, HKSAR, China","FungiDB rel. 63, 2023-MAY-03","63","Genomes","postPC9_primary_genome_RSRC","DS_5402ea5e14","<i>Pleurotus ostreatus</i> PC9<br>","18248422","N/A","Frederick Chi Ching Leung","Genome Sequence and Annotation of <i>Pleurotus ostreatus</i> PC9","genome","11897"
"Re-annotation of S. schenckii 1099-18 (ATCC MYA-4821) JBrowse track","2020-10-01","Apollo","Orazio Romeo","Department of Chemical, Biological, Pharmaceutical and Environmental Sciences, University of Messina","FungiDB rel. 64, 2023-JUL-12","64","Sequence sites, features and motifs","ssch1099-18_Romeo_MYA-4821_2020_annotation_GFF_RSRC","DS_54f5bb4f9f","<i>Sporothrix schenckii</i> 1099-18<br>","33034552","N/A","Orazio Romeo","RNA-Seq guided re-annotation of <i>S. schenckii</i> 1099-18 genome","feature","N/A"
"<i>Fusarium oxysporum</i> f. sp. melonis 26406 Genome Sequence and Annotation","2017-12-23","N/A","Li-Jun Ma","Department of Biochemistry and Molecular Biology, University of Massachusetts Amherst","FungiDB rel. 51, 2021-MAR-16","38","Genomes","foxy26406_primary_genome_RSRC","DS_54fda600a6","<i>Fusarium oxysporum</i> f. sp. melonis 26406<br>","25081257","N/A","Li-Jun Ma","<i>Fusarium oxysporum</i> f. sp. melonis 26406 Genome Sequence and Annotation","genome","20033"
"Transcriptional Response of Impaired Hsp40/Hsp70 Chaperone Complex Mas5/Ssa2","2013-09-20_gus4","N/A","Aleksandarv Vjestica","Temasek Life Sciences Laboratory","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","spom972h_Vjestica_GeneExprProfile_ebi_rnaSeq_RSRC","DS_5517c92a5e","<i>Schizosaccharomyces pombe</i> 972h-<br>","N/A","N/A","Aleksandarv Vjestica","The cells with the impaired Hsp40/Hsp70 chaperone complex Mas5/Ssa2 exhibit a transriptional response that is simillar to that of cells with the elevated levels of the heat-shock factor 1 (Hsf1) or heat-stressed wild type fission yeast cells.","transcript_expression","N/A"
"RNA-seq data of strains CBS7841 and CBS7855 grown under different sporulation conditions","2022-06-17","Apollo","Joe Heitman","Department of Molecular Genetics and Microbiology, Duke University Medical Center, Durham, North Carolina, USA","FungiDB rel. 64, 2023-JUL-12","64","RNASeq","cdepCBS7841_Passer_Cdepauperatus_2022_ebi_rnaSeq_RSRC","DS_558e75486c","<i>Cryptococcus depauperatus</i> CBS 7841<br>","35713948","N/A","Passer et al. 2022","RNA-seq data of strains CBS7841 and CBS7855 grown under conditions that stimulate sporulation (growth on V8 solid medium) and conditions that inhibit sporulation (growth in YPD liquid medium).","transcript_expression","N/A"
"Transcriptomic investigation of CLR-1, CLR-2, and XLR-1 roles in plant cell wall degradation","2015-05-04","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 41, 2018-DEC-13","41","RNASeq","ncraOR74A_Glass_CellWallDegradation_ebi_rnaSeq_RSRC","DS_5781e07160","<i>Neurospora crassa</i> OR74A<br>","26463163","N/A","Graig et al. 2015","Differential gene expression analysis performed in strains grown on xylan, sucrose, and no carbon.","transcript_expression","N/A"
"<i>Mucor lusitanicus</i> CBS 277.49 Genome Sequence and Annotation","2016-05-06","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 67, 2024-FEB-21","19","Genomes","mcirCBS277-49_primary_genome_RSRC","DS_57ea85058c","<i>Mucor lusitanicus</i> CBS 277.49<br>","27238284","N/A","Igor V. Grigoriev","Genome sequence and annotation for <i>Mucor lusitanicus</i> CBS 277.49.","genome","11936"
