Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
Global Genetic Diversity of Aedes aegypti,9/22/2016,N/A,Andrea Gloria-Soria,"Department of Ecology and Evolutionary Biology, Yale University","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000138_RSRC,DS_3219b81b72,<br>,27671732,Andrea Gloria-Soria,"We characterized genetic variation at 12 microsatellite loci in 79 populations of Ae. aegypti, from 30 countries in six continents and used them to infer historical and modern patterns of invasion. Our results support the two subspecies Ae. aegypti formosus and Ae. aegypti aegypti as genetically distinct units. Note: A mistake in the collection years from Rabai (Kenya), Salta (Argentina), and Cordoba (Argentina) was noted in the original paper (Gloria-Soria et al. 2016 Mol Ecol) and have been corrected here. This change does not alter the conclusions of this study. (MapVEu VBP0000138)",population_biology,N/A,,,,
"Mosquito surveillance in Orange County, Florida, USA. 2012",4/6/2018,N/A,Dave Pelly,Orange County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000257_RSRC,DS_323d41671d,<br>,N/A,Dave Pelly,Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000257),population_biology,N/A,,,,
"Long term (3,5,8 week) Schistosoma mansoni infection",Jan-20,N/A,Coen Adema,CETI Biology UNM,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,bglaBB02_SRP058825_ebi_rnaSeq_RSRC,DS_324a4968bc,<i>Biomphalaria glabrata</i> BB02<br>,N/A,"Adema et al 2015, Unpublished","Gene transcription patterns of snail intermediate host and developing schistosome parasite during long term (3,5,8 week) infection.",transcript_expression,N/A,,,,
2015 Mosquito surveillance from Volusia County Florida,4/29/2021,N/A,Bryan Giordaano,Florida Medical Entomology Laboratory,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000741_RSRC,DS_326e1aba44,<br>,32206774,Bryan Giordaano,2017 Mosquito surveillance from Volusia County Florida using multiple trap types (MapVEu VBP0000741),population_biology,N/A,,,,
Pyrethroid resistant vs susceptible,2/25/2011,Apollo,Richard Gregory,"University of Liverpool, School of Biological Sciences, Cornwall House, United Kingdom.","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,afunidAnoFuneDA416_04_SRP000923_ebi_rnaSeq_RSRC,DS_32a18e7a5d,<i>Anopheles funestus</i> AfunGA1<br>,21364769,Gregory et al 2011,"<i>An. funestus</i> transcriptome using cDNA libraries from pools of life stages (pupae, larvae, adults: females and males) developed from a pyrethroid resistant laboratory strain and a pyrethroid susceptible field strain from Mali.",transcript_expression,N/A,,,,
Insecticide resistance status of Aedes aegypti (L.) from Colombia,4/14/2016,N/A,Idalyd Fonseca-González,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000126_RSRC,DS_32af2a125e,<br>,21394876,Idalyd Fonseca-González,Evaluation of the insecticide susceptibility status of Aedes aegypti (L.) in Colombia and as part of the National Network of Insecticide Resistance Surveillance (MapVEu VBP0000126),population_biology,N/A,,,,
"Mosquito surveillance in Manatee County, Florida, USA. 2006",3/23/2021,N/A,Whitehead Shelley,Manatee County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000735_RSRC,DS_32b2238c3b,<br>,N/A,Whitehead Shelley,Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000735),population_biology,N/A,,,,
Chemical Entities of Biological Interest Compounds,10/13/2021,N/A,EMBL-EBI,EMBL-EBI,N/A,0,Compounds from ChEBI,compounds_chEBI_RSRC,DS_32b4753324,<br>,23180789,EMBL-EBI,Compound records from Chemical Entities of Biological Interest (ChEBI),compound,N/A,,,,
"Multiple introductions of the dengue vector, Aedes aegypti, into California",Jun-20,Apollo,Evlyn Pless,"Department of Ecology and Evolutionary Biology, Yale University","VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000177_Pless_S1_File_2_AaegL5_ebi_VCF_RSRC,DS_32c210fe2b,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Evlyn Pless,"Here we investigate the origin of California A. aegypti and find that this mosquito likely entered California on multiple occasions, at least once from the South Central US region and once from the Southwest US/northern MX region.",isolates,N/A,,,,
Outdoor biting and pyrethroid resistance as potential drivers of persistent malaria transmission in Zanzibar,2022,N/A,Revocatus M Musiba,N/A,"VectorBase rel. 60, 2022-NOV-09",60,N/A,ISATab_VBP0000819_RSRC,DS_32d690c31d,<br>,35672768,Revocatus M Musiba,"A total of 135 households were randomly selected from six sites and consented to participate with 20-25 households per site. Mosquito vector surveillance was carried out indoors and outdoors from 6:00 pm-7:00 am using miniaturized double net trap (DN-Mini&#8482;). Additional collections were done indoors using mouth aspirators to retrieve resting mosquitoes from wall and ceiling surfaces, and outdoors using resting bucket and pit traps. All collected mosquitoes were morphologically and genetically analysed in the laboratory. All collected anopheline and blood-fed mosquitoes were analysed for sporozoite infection and blood meal host preferences by Circumsporozoite Protein ELISA and blood meal ELISA, respectively. Levels of resistance to commonly used insecticides were quantified by WHO susceptibility tests.",population_biology,N/A,,,,
Treatments (stranded RNASeq): Response to S. mansoni infection in resistance-selected snails,3/16/2015,Apollo,Aaron Liston,Oregon State University,"VectorBase rel. 68, 2024-MAY-07",68,RNASeq,bglaXG47_Tennessen_SRP049070_stranded_2015_ebi_rnaSeq_RSRC,DS_3316717fc5,<i>Biomphalaria glabrata</i> XG47<br>,25775214,Tennessen et al 2015,"B. glabrata and <i>S. mansoni</i> were collected on the island of Guadeloupe, West Indies. We selected for resistance by challenging snails with
S. mansoni miracidia. Fine-mapping and RNA-Seq characterization reveal a region, the Guadeloupe Resistance Complex (GRC). We perform RNAseq on challenged and unchallenged
reesistance-seleceted snails of various GRC genotypes.",transcript_expression,N/A,,,,
The Sequence Ontology,5/15/2015,N/A,The Sequence Ontology Project (SO),N/A,N/A,0,Ontology and terminology,SO_RSRC,DS_3331bdf8a7,<br>,15892872,The Sequence Ontology Project (SO),"The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.",sres,N/A,,,,
"Pooled male and female larvae, pupae, and adults",Jan-20,N/A,Broad Institute,Broad Institute,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,amerMAF_SRP020545_ebi_rnaSeq_RSRC,DS_33707264d5,<i>Anopheles merus</i> MAF<br>,25554792,Neafsey et al 2015,"Produced from pooled male and female larvae, pupae, and adults (four  An. merus samples).",transcript_expression,N/A,,,,
"Mosquito infection assays for Plasmodium falciparum in Uganda by PRISM ICEMR group, 2011-2016",6/4/2020,N/A,Grant Dorsey,"Department of Medicine, San Francisco General Hospital, University of California, San Francisco, San Francisco, California, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000647_RSRC,DS_33a463e2b4,<br>,N/A,Grant Dorsey,"Longitudinal entomological surveillance of mosquitoes from three regions of Uganda. This study is part of The Program for Resistance, Immunology, Surveillance and Modeling of Malaria in Uganda (PRISM) Study, part of International Centers of Excellence for Malaria Research Program (ICEMR). Other aspects of the cohort study can be viewed at ClinEpiDB (https://clinepidb.org/ce/app/record/dataset/DS_0ad509829e). (MapVEu VBP0000647)",population_biology,N/A,,,,
"Mosquito surveillance in Marion County, Indiana, USA. 2013",10/13/2018,N/A,Sinsko Matthew,Marion County Health Deparment,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000335_RSRC,DS_33a835954b,<br>,N/A,Sinsko Matthew,Mosquito surveillance from the Marion County Health Deparment surveillance program to survey mosquito populations. (MapVEu VBP0000335),population_biology,N/A,,,,
Insecticide resistance patterns in Uganda and the effect of indoor residual spraying with bendiocarb on kdr L1014S frequencies in Anopheles gambiae s.s.,6/19/2017,N/A,Tarekegn A. Abeku,"Malaria Consortium, Development House","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000184_RSRC,DS_33b624bfc8,<br>,N/A,Tarekegn A. Abeku,Anopheles mosquitoes were collected from multiple sites in nine districts of Uganda (up to five sites per district). Three districts had been sprayed with bendiocarb. Phenotypic resistance was determined using standard susceptibility tests. Molecular assays were used to determine the frequency of resistance mutations. The kdr L1014S homozygote frequency in Anopheles gambiae s.s. was used as the outcome measure to test the effects of various factors using a logistic regression model. (MapVEu VBP0000184),population_biology,N/A,,,,
"Mosquito surveillance in Southern Nevada, USA. 2015",1/23/2018,N/A,Dan Slater,Southern Nevada Health District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000214_RSRC,DS_346653b5f7,<br>,N/A,Dan Slater,"Mosquito surveillance from the Southern Nevada Health District Vector Surveillance program to survey mosquito populations for diseases including West Nile Virus (WNV), Western Equine Encephalitis (WEE), and Saint Louis Encephalitis (SLE). (MapVEu VBP0000214)",population_biology,N/A,,,,
Transcriptome or Gene expression (aligned to SDA-500 strain),Jan-20,N/A,Changhe Wei,smjx ltd.,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,asteSDA-500_SRP099378_ebi_rnaSeq_RSRC,DS_347759a126,<i>Anopheles stephensi</i> SDA-500<br>,28851458,Changhe Wei,We conducted a genome-wide transcriptomic profile analysis of <i>Anopheles stephensi</i> following infection of rats with drug-resistant and drug-sensitive  <i>Plasmodium yoelii </i> strains.,transcript_expression,N/A,,,,
"RNA-Seq from male and female Anopheles coluzzii, Anopheles arabiensis, Anopheles quadriannulatus, and their hybrids.",7/1/2018,Apollo,Kevin C Deitz,"Department of Entomology, Texas A&M University.; Department of Ecology and Evolutionary Biology and The Lewis-Sigler Institute for Integrative Genomics, Princeton University","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP150554_ebi_rnaSeq_RSRC,DS_34794b1814,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,29860336,Deitz et al.,RNA-Seq of member species of the Anopheles gambiae species complex and their F1 hybrids.,transcript_expression,N/A,,,,
Montana State University mosquito data for 2019,7/8/2020,N/A,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000669_RSRC,DS_34aa0a7b33,<br>,N/A,Marni Rolston,"2019 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000669)",population_biology,N/A,,,,
Transcription regulation of sex-biased genes during ontogeny in the malaria vector Anopheles gambiae,5/2/2014,Apollo,VEupathDB Outreach,N/A,"VectorBase rel. 53, 2021-JUL-21",53,DNA Microarray Assay,agamPEST_microarrayExpression_E-MEXP-3093_sex-bias_RSRC,DS_34bdb01640,<i>Anopheles gambiae</i> PEST<br>,21738713,Magnusson et al 2011,Transcription regulation of sex-biased genes during ontogeny in the malaria vector <i>Anopheles gambiae</i>,transcript_expression,N/A,,,,
The kdr pyrethroid resistance gene in Anopheles gambiae: tests of non-pyrethroid insecticides and a new detection method for the gene.,10/15/2014,N/A,C Fanello,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000104_RSRC,DS_34ca20daa8,<br>,20162985,C Fanello,Insecticide resistance study imported from IRBase. (MapVEu VBP0000104),population_biology,N/A,,,,
Differential gene expression regulation in salivary gland,Jan-20,Apollo,Rajnikant Dixit,National Institute of Malaria Research,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,aculA-37_SRP032505_ebi_rnaSeq_RSRC,DS_34cbb9983c,<i>Anopheles culicifacies</i> A-37<br>,N/A,Rajnikant Dixit,Differential Gene expression regulation in Salivray gland of Anopheles culicifacies using Next Generation Sequencing Technology on Illumina Platform,transcript_expression,N/A,,,,
Transcription profiling of Aedes aegypti 4th stage-larvae to various xenobiotics,6/4/2014,Apollo,Jean-Philippe David,"Laboratoire d'Ecologie Alpine (LECA), Université de Grenoble","VectorBase rel. 48, 2020-AUG-27",48,DNA Microarray Assay,aaegLVP_AGWG_microarrayExpression_E-TABM-353_LarvaeXenobiotics_RSRC,DS_34ce5f2e85,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Poupardin et al.,"This microarray experiment aimed at studying the response of Aedes aegypti 4th stage-larvae to various xenobiotics, including insecticides, polycyclic aromatic hydrocarbons, herbicides and heavy metals",transcript_expression,N/A,,,,
"Susceptibility of DDT, Dieldrin and Malathion resistant Anopheles culicifacies populations to Deltamethrin",6/17/2014,N/A,M. Das,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000034_RSRC,DS_350dae7247,<br>,3507531,M. Das,Insecticide resistance study imported from IRBase. (MapVEu VBP0000034),population_biology,N/A,,,,
Generic RNAseq (part of a study with +8 mosquito species),1/26/2010,Apollo,Chris Todd Hittinger,"Department of Biochemistry and Molecular Genetics, University of Colorado Denver Health Sciences Center.","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP001532_ebi_rnaSeq_RSRC,DS_351d593d81,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,20080632,Hittinger et al 2010,"Eggs from all 10 species were obtained through the Malaria Research and Reference Reagent Resource Center (http://www.mr4.org/), 36-bp Solexa (one biological replicate).",transcript_expression,N/A,,,,
Susceptibility status of Aedes aegypti (L.) (Diptera: Culicidae) to temephos in Venezuela,4/1/2019,N/A,Adriana E Flores,"Universidad Autonoma de Nuevo Leon, Facultad de Ciencias Biologicas. Av. Universidad s/n, Cd. Universitaria, San Nicolas de los Garza, N.L. 66455. Mexico.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000447_RSRC,DS_352021c1a0,<br>,24282132,Adriana E Flores,"Larval bioassays were conducted on samples collected in 2008 and 2010, and the levels of &#945;&#8208; and &#946;&#8208;esterases, mixed&#8208;function oxidases, glutathione&#8208;S&#8208;transferase and insensitive acethyl cholinesterase were determined. (MapVEu VBP0000447)",population_biology,N/A,,,,
"Mosquito surveillance in Cass County, North Dakota, and Clay County, Minnesota, USA. 2011",8/15/2018,N/A,Benjamin Prather,Cass County Vector Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000305_RSRC,DS_3533de9c56,<br>,N/A,Benjamin Prather,Mosquito surveillance from the Cass County Vector Control District program to survey mosquito populations. (MapVEu VBP0000305),population_biology,N/A,,,,
Primary malaria vector An. darlingi larvae in a high transmission fish farming area in Amazonian Brazil,10/4/2018,N/A,Paulo Rufalco-Moutinho,Dep. Parasitology - IBB UNESP,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000323_RSRC,DS_35848e6cfa,<br>,33831004,Paulo Rufalco-Moutinho,Larval collections from artificial breeding sites in a high-transmission fish farming area in the brazilian Amazon. (MapVEu VBP0000323),population_biology,N/A,,,,
"Emergence of knock-down resistance in the Anopheles gambiae complex in the Upper River Region, The Gambia, and its relationship with malaria infection in children",10/4/2018,N/A,Anne L Wilson,"Durham University, Durham, UK","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000326_RSRC,DS_35b1498bbd,<br>,29776361,Anne L Wilson,"Point mutations at the Vgsc-1014 locus, were measured in An. gambiae s.l. during a 2-year trial. (MapVEu VBP0000326)",population_biology,N/A,,,,
"Mosquito surveillance in Anastasia (BG-Sentinel), Saint Johns County, Florida, USA. 2017",6/21/2018,N/A,Richard Weaver,Anasatasia Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000293_RSRC,DS_35cac1aef0,<br>,N/A,Richard Weaver,Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000293),population_biology,N/A,,,,
<i>Anopheles albimanus</i> STECLA 2020 Genome Sequence and Annotation,AalbS3,Apollo,Austin Compton,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 65, 2023-SEP-14",53,Genomes,aalbSTECLA2020_primary_genome_RSRC,DS_35d1598565,<i>Anopheles albimanus</i> STECLA 2020<br>,32883756,Austin Compton,"This new genome is assembled at the chromosome level, from telomere-to-telomere, and has a gene set prediction.",genome,12945,,,,
"Resistance Status of Anopheles maculipennis and Anopheles superpictus to the Conventional Insecticides in Northeastern Caspian Littoral, Iran",2021,N/A,Mohammad R Abai,"Department of Medical Entomology and Vector Control, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran","VectorBase rel. 56, 2022-FEB-15",56,N/A,ISATab_VBP0000789_RSRC,DS_35e2b812d9,<br>,N/A,Mohammad R Abai,"Re&#173;sistance status of main malaria vectors in the Caspian Littoral, Iran.",population_biology,N/A,,,,
"Mosquito surveillance in Anastasia (BG-Sentinel), Saint Johns County, Florida, USA. 2016",6/21/2018,N/A,Richard Weaver,Anasatasia Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000294_RSRC,DS_36354888e8,<br>,N/A,Richard Weaver,Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000294),population_biology,N/A,,,,
"GPL10542 - EOHSI-BRTC_Mosquito_11,361_v1",10/11/2010,Apollo,Osvaldo Marinotti,"Department of Molecular Biology and Biochemistry, University of California, Irvine","VectorBase rel. 47, 2020-APR-07",47,Array Probes,aaegLVP_AGWG_microarrayPlatform_GPL10542-Agilent_RSRC,DS_368a73a41f,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Osvaldo Marinotti,"Custom-commercial Aedes aegypti array from Agilent, containing 45220 60-mer probes, designed against the AaegL1.1 set of 16k transcripts at the University of California, Irvine.",transcript_expression_platform,N/A,,,,
